id,title,description,modified_date,start_year,end_year,rating,type,character_id,comics_id
31083,S.W.O.R.D. (2020 - Present),"ONE GIANT LEAP FOR MUTANTKIND! The Mutant nation of Krakoa has quickly become a major force on the world stage... but why stop there? Krakoa has relaunched the Sentient World Observation & Response Directorate—a fully independent organization dealing with all things extra-terrestrial on behalf of all of Earth. Al Ewing and Valerio Schitti, the team behind EMPYRE, bring us the tale of Mutantkind looking to do for the galaxy what Krakoa did for the planet. ",2021-04-05T11:35:20-0400,2020,2099,,,1011297,90340
8233,S.W.O.R.D. (2009 - 2010),,2011-06-01T10:00:50-0400,2009,2010,,,1011297,26228
22551,The Mighty Captain Marvel (2017 - 2018),,2019-02-25T11:53:20-0500,2017,2018,,,1011297,62427
32962,X-Men Red (2022 - Present),"WHO CAN SAVE THE RED PLANET? The mutants of Arakko spent millennia scarred by war — but on what was once called Mars, they’re learning to live in peace. STORM knows the red planet needs something greater than a queen. But ABIGAIL BRAND has other plans, along with an unstable VULCAN on her side and CABLE keeping his own secrets. Welcome to X-MEN RED. It’s a new world…and someone has to fight for it.",2022-05-06T09:36:50-0400,2022,2099,,,1011297,96265
459,Agent X (2002 - 2004),,-0001-11-30T00:00:00-0500,2002,2004,MARVEL PSR,ongoing,1011031,17702
693,Cable & Deadpool (2004 - 2008),"The Odd Couple of the Marvel Universe, Cable is a soldier from the future, fighting for peace today while Deadpool is the wisecracking, gun-for-hire by-product of the military's Weapon X program. Sparks fly when this oddest of all couples kicks butts and takes names throughout the Marvel Universe.",2013-03-01T13:38:57-0500,2004,2008,T,,1011031,430
1338,Cable & Deadpool Vol. 2: The Burnt Offering (2007),,-0001-11-30T00:00:00-0500,2007,2007,Not in Oracle,collection,1011031,5761
34445,Life of Wolverine Infinity Comic (2022 - Present),,2021-12-06T12:21:54-0500,2022,2099,,,1009150,100343
543,Weapon X (2002 - 2004),,-0001-11-30T00:00:00-0500,2002,2004,MARVEL PSR,,1009150,18071
869,Weapon X: Days of Future Now (2005),,-0001-11-30T00:00:00-0500,2005,2005,T,,1009150,2204
1478,Weapon X: Days of Future Now (2006),,-0001-11-30T00:00:00-0500,2006,2006,T+,collection,1009150,3357
3649,Weapon X: The Draft – Agent Zero (2002),,2020-09-18T02:24:10-0400,2002,2002,,one shot,1009150,18408
2262,Wolverine (1988 - 2003),"Breaking away from the X-Men, the man known as Logan pursues the most dangerous adventures he can find! See Wolverine clash with the pirates of Madripoor, the ninja hordes of Japan and the mutant-hunting Sentinels as well as grapple with his own past in this classic series!",2015-04-01T16:34:08-0400,1988,2003,,,1009148,14035
84,WOLVERINE/DEADPOOL: WEAPON X TPB (1999),,-0001-11-30T00:00:00-0500,1999,1999,MARVEL PSR,collection,1009148,1023
3643,X-Man (1995 - 2000),,-0001-11-30T00:00:00-0500,1995,2000,,,1009150,18176
2265,X-Men (1991 - 2001),"An exciting era for Marvel's mutants begin! With a larger team roster than ever before, the X-Men face familiar foes like Magneto, new opponents like Omega Red, and monumental threats including Onslaught and Operation: Zero Tolerance in their 90's exploits!",2016-06-20T12:25:37-0400,1991,2001,,,1009146,61788
3637,X-Men Unlimited (1993 - 2003),,2019-09-30T13:58:59-0400,1993,2003,,,1009150,18110
27624,Agents of Atlas (2019),,2019-07-31T11:14:26-0400,2019,2019,,limited,1017851,77001
1097,Agents of Atlas (2006 - 2007),"Jimmy Woo and one of the most unique teams in Marvel history reunite to uncover the machinations of the mysterious Atlas Corporation! Follow the fun, action-packed exploits of Gorilla-Man, The Uranian, Namora, Venus and MI-11 in this award-winning series!",2020-01-24T12:36:18-0500,2006,2007,T,limited,1011198,4801
6807,Agents of Atlas (2009),,2010-12-14T14:30:07-0500,2009,2009,RATED T,,1011198,23659
1980,AGENTS OF ATLAS PREMIERE HC (2007),,-0001-11-30T00:00:00-0500,2007,2007,RATED T,,1011198,6318
24134,Agents of Atlas: The Complete Collection Vol. 1 (2018),,2018-04-27T13:43:18-0400,2018,2018,,collection,1011198,66661
29600,Atlantis Attacks (2020),"WAR WITH THE WATER KINGDOM! The armies of ATLANTIS face ATLAS in a showdown destined to shake allegiances and break hearts! AMADEUS CHO, SILK, WAVE, SHANG-CHI, and all the heroes of the Atlas have bonded with each other after the challenges of WAR OF THE REALMS. But when a terrible secret incurs the wrath of KING NAMOR, who’s the true friend -- and who’s the true enemy? A titanic tale of love and betrayal, heroes and monsters, gods and underdogs -- plus the shocking return of JIMMY WOO and the original AGENTS OF ATLAS! ",2020-11-30T10:52:53-0500,2020,2020,,limited,1017851,83989
9782,Atlas (2010),,-0001-11-30T00:00:00-0500,2010,2010,,,1011198,30033
9181,Avengers Vs. Atlas (2010),,-0001-11-30T00:00:00-0500,2010,2010,,,1011198,29620
6415,Dark Reign: New Nation (2008),,-0001-11-30T00:00:00-0500,2008,2008,RATED A,,1011198,23004
27620,Incoming! (2019),,2020-07-02T10:54:13-0400,2019,2019,,one shot,1011198,82251
27505,War of the Realms: New Agents of Atlas (2019),,2019-05-03T12:01:49-0400,2019,2019,,limited,1011198,76615
27374,War Of The Realms: New Agents Of Atlas (2019),,2019-09-03T10:07:21-0400,2019,2019,,collection,1011198,76290
22365,Wolverine: Prehistory (2017),,2018-02-14T16:12:25-0500,2017,2017,,collection,1011198,60490
1078,Annihilation: Silver Surfer (2006),,-0001-11-30T00:00:00-0500,2006,2006,T,limited,1011136,4108
1814,Heroes Reborn: Iron Man (2006),,-0001-11-30T00:00:00-0500,2006,2006,RATED A,collection,1011136,5589
13577,Iron Man (1996 - 1998),,2013-12-30T16:33:45-0500,1996,1998,,,1011136,16328
